10868 Muenchen-Oberschlssheim Observations at 12Z 16 Oct 2024
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------  
  102.0  16288  -63.2  -85.2      4   0.00    275     17  403.0  403.0  403.0
  100.0  16410  -63.3  -85.3      4   0.00    275     21  405.2  405.2  405.2
   95.0  16725  -64.0  -86.0      4   0.00    295     29  409.7  409.8  409.7
   90.0  17056  -64.8  -86.8      3   0.00    325     21  414.6  414.6  414.6
   86.7  17286  -65.3  -87.3      3   0.00    318     23  418.0  418.0  418.0
   81.0  17705  -62.5  -87.2      2   0.00    305     25  431.9  432.0  431.9
   78.3  17914  -61.1  -87.1      2   0.00    341     24  439.0  439.1  439.0
   78.0  17938  -61.1  -87.1      2   0.00    345     23  439.4  439.4  439.4
   76.0  18099  -61.5  -87.2      2   0.00    340     16  442.0  442.0  442.0
   72.0  18435  -62.1  -87.4      2   0.00    280     17  447.5  447.5  447.5
   70.0  18610  -62.5  -87.5      2   0.00    290     17  450.3  450.4  450.3
   69.8  18628  -62.5  -87.5      2   0.00    292     18  450.7  450.7  450.7
   68.0  18789  -62.4  -87.5      2   0.00    310     21  454.2  454.2  454.2
   66.0  18974  -62.4  -87.5      2   0.00    300     17  458.3  458.3  458.3
   63.0  19261  -62.2  -87.6      2   0.00    315     14  464.6  464.7  464.6
   62.0  19360  -62.2  -87.6      2   0.00    305     12  466.9  466.9  466.9
   61.0  19461  -62.2  -87.6      2   0.00    285     17  469.1  469.1  469.1
   59.0  19667  -62.1  -87.6      2   0.00    300     27  473.8  473.8  473.8
   57.0  19880  -62.0  -87.6      2   0.00    310     21  478.7  478.7  478.7
   55.0  20101  -61.9  -87.6      2   0.00    300     21  483.8  483.8  483.8
   52.0  20448  -61.8  -87.7      2   0.00    315     14  491.9  491.9  491.9
   50.0  20690  -61.7  -87.7      2   0.00    295     17  497.7  497.7  497.7
   48.0  20944  -60.5  -87.6      2   0.00    320     10  506.3  506.3  506.3
   46.3  21169  -59.5  -87.5      2   0.00    286     11  514.0  514.0  514.0
   46.0  21209  -59.7  -87.6      2   0.00    280     12  514.4  514.5  514.4
   44.0  21485  -61.2  -88.1      2   0.00    260      8  517.4  517.4  517.4
   41.0  21922  -63.6  -89.0      2   0.00    270     16  522.1  522.1  522.1
   40.1  22060  -64.3  -89.3      2   0.00    290     22  523.5  523.5  523.5
   39.0  22231  -62.7  -88.5      2   0.00    315     29  531.9  531.9  531.9
   37.6  22457  -60.5  -87.5      2   0.01    339     25  542.9  543.0  543.0
   37.0  22557  -60.7  -87.7      2   0.00    350     23  545.0  545.0  545.0
   36.0  22728  -61.0  -88.0      2   0.00     20     12  548.4  548.5  548.4
   35.0  22903  -61.3  -88.3      2   0.00    140      2  552.0  552.0  552.0
   34.0  23083  -61.7  -88.7      2   0.00    215     10  555.7  555.8  555.7
   33.9  23101  -61.7  -88.7      2   0.00    217     10  556.1  556.1  556.1
   32.0  23459  -61.4  -88.4      2   0.01    265     16  566.1  566.1  566.1
   30.0  23860  -61.1  -88.1      2   0.01    280     21  577.5  577.5  577.5
   29.0  24073  -60.4  -87.8      2   0.01    315     17  585.1  585.2  585.1
   26.0  24761  -58.0  -86.7      1   0.01    295     17  610.2  610.3  610.2
   25.0  25008  -57.2  -86.4      1   0.01    315     19  619.5  619.6  619.5
   24.0  25265  -56.3  -86.0      1   0.01    245     16  629.3  629.4  629.3
   23.0  25533  -55.4  -85.6      1   0.01    235     17  639.7  639.8  639.7
   22.0  25813  -54.5  -85.2      1   0.01    245     19  650.7  650.8  650.7
   21.4  25987  -53.9  -84.9      1   0.01    242     26  657.6  657.7  657.6
   21.0  26108  -54.0  -85.0      1   0.01    240     31  660.8  661.0  660.8
   20.0  26420  -54.3  -85.3      1   0.01    260     39  669.2  669.4  669.2
   16.3  27725  -56.9  -86.9      1   0.01    274     32  701.1  701.2  701.1
   16.0  27843  -56.7  -86.8      1   0.01    275     31  705.5  705.7  705.5
   15.0  28254  -55.9  -86.4      1   0.02    265     25  721.2  721.4  721.2
   14.0  28693  -55.1  -86.0      1   0.02    265     39  738.4  738.6  738.4
   13.8  28785  -54.9  -85.9      1   0.02    261     40  742.0  742.2  742.0
   13.1  29121  -51.1  -84.1      1   0.03    247     46  766.2  766.6  766.3
   13.0  29171  -51.2  -84.1      1   0.03    245     47  767.7  768.0  767.7
   12.0  29690  -52.0  -84.5      1   0.03    260     49  782.7  783.0  782.7
   11.0  30254  -52.8  -84.9      1   0.03    250     60  799.3  799.6  799.3
   10.9  30313  -52.9  -84.9      1   0.03    250     61  801.0  801.4  801.0
   10.0  30870  -52.3  -84.3      1   0.03    255     68  823.2  823.6  823.3
    9.8  31003  -52.0  -84.2      1   0.03    260     70  829.1  829.5  829.1
    9.0  31561  -50.8  -83.9      1   0.04    245     58  854.2  854.7  854.2
    7.0  33210  -47.2  -83.1      1   0.06    245     70  932.6  933.4  932.6
    6.3  33902  -45.7  -82.7      1   0.07    248     65  967.5  968.5  967.5              
Station information and sounding indices
                             Station number: 10868
                           Observation time: 241016/1200
                           Station latitude: 48.25
                          Station longitude: 11.55
                          Station elevation: 492.0
                            Showalter index: 3.11
                               Lifted index: 8.18
    LIFT computed using virtual temperature: 8.05
                                SWEAT index: 58.97
                                    K index: 20.70
                         Cross totals index: 14.70
                      Vertical totals index: 30.70
                        Totals totals index: 45.40
      Convective Available Potential Energy: 0.00
             CAPE using virtual temperature: 0.00
                      Convective Inhibition: 0.00
             CINS using virtual temperature: 0.00
                     Bulk Richardson Number: 0.00
          Bulk Richardson Number using CAPV: 0.00
  Temp [K] of the Lifted Condensation Level: 281.10
Pres [hPa] of the Lifted Condensation Level: 890.09
   Equivalent potential temp [K] of the LCL: 312.37
     Mean mixed layer potential temperature: 290.63
              Mean mixed layer mixing ratio: 7.61
              1000 hPa to 500 hPa thickness: 5655.00
Precipitable water [mm] for entire sounding: 19.17
Description of the data columns or sounding indices.


 
Interested in graduate studies in atmospheric science? Check out our program at the University of Wyoming
Questions about the weather data provided by this site can be addressed to Larry Oolman (ldoolman@uwyo.edu)
